Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,whyplay_winning,whyplay_fun,whyplay_improving,whyplay_relaxing,whyplay_otherpeople,whyplay_habit
35.0,1.0,1.0,3.0,3.0,2.0,4.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,Male,25,Student at college / university,Italy,29.0,yes,yes,friends,No,No,Yes,No,No,No
40.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,Male,19,Student at college / university,Brazil,18.0,yes,yes,friends,No,Yes,No,No,No,No
20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,22,Employed,Mexico,3.0,yes,yes,friends,Yes,No,No,No,No,No
15.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,3.0,1.0,2.0,Male,19,Student at school,USA,25.0,yes,yes,strangers,No,No,Yes,No,No,No
8.0,1.0,3.0,2.0,4.0,0.0,2.0,0.0,1.0,4.0,2.0,2.0,0.0,2.0,4.0,1.0,2.0,2.0,Male,22,Student at college / university,Netherlands,32.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
20.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,Male,22,Student at college / university,USA,9.0,yes,yes,friends,Yes,No,No,No,No,No
13.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,Male,19,Student at college / university,Sweden,14.0,yes,yes,friends,No,Yes,No,No,No,No
40.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,Male,19,Student at college / university,Austria,51.0,yes,yes,strangers,No,No,Yes,No,No,No
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,29,Employed,Germany,5.0,yes,yes,friends,No,Yes,No,No,No,No
50.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,Male,18,Student at school,Germany,35.0,yes,yes,strangers,Yes,No,No,No,No,No
20.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,24,Employed,USA,11.0,no,no,alone,No,Yes,No,No,No,No
15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,USA,4.0,yes,yes,friends,No,No,Yes,No,No,No
15.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,25,Student at college / university,Germany,8.0,yes,yes,friends,No,No,Yes,No,No,No
18.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,Male,23,Student at college / university,Finland,10.0,yes,yes,strangers,No,No,Yes,No,No,No
20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,23,Student at college / university,Finland,5.0,yes,yes,strangers,No,Yes,No,No,No,No
26.0,0.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,2.0,0.0,3.0,3.0,1.0,3.0,Male,18,Student at college / university,Netherlands,44.0,yes,yes,strangers,No,Yes,No,No,No,No
4.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,Male,18,Unemployed / between jobs,South Africa,25.0,yes,yes,strangers,Yes,No,No,No,No,No
40.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Male,20,Student at school,Undefined,11.0,yes,yes,friends,No,No,Yes,No,No,No
3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,Male,23,Student at college / university,Mexico,21.0,yes,yes,strangers,No,Yes,No,No,No,No
10.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,Male,19,Student at college / university,USA,56.0,yes,yes,friends,Yes,No,No,No,No,No
35.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,Male,31,Employed,Poland,15.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
10.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,Male,18,Student at college / university,Netherlands,22.0,yes,yes,friends,No,Yes,No,No,No,No
25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,Male,26,Employed,USA,7.0,yes,yes,friends,No,No,Yes,No,No,No
20.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Male,19,Student at college / university,USA,7.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
7.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,Male,19,Student at college / university,Spain,14.0,yes,yes,strangers,No,Yes,No,No,No,No
20.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,Male,18,Employed,USA,16.0,yes,yes,friends,No,No,Yes,No,No,No
20.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,Male,26,Student at college / university,Portugal,15.0,yes,yes,friends,Yes,No,No,No,No,No
24.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,Male,18,Student at school,Bulgaria,33.0,yes,yes,strangers,No,No,Yes,No,No,No
20.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,2.0,2.0,3.0,Male,18,Student at college / university,USA,44.0,yes,yes,friends,No,Yes,No,No,No,No
25.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,Male,21,Employed,Germany,35.0,yes,yes,strangers,No,Yes,No,No,No,No
20.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Male,18,Student at school,USA,7.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
23.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,Male,23,Unemployed / between jobs,Sweden,14.0,yes,yes,strangers,No,No,Yes,No,No,No
4.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,Male,20,Student at college / university,Brazil,38.0,yes,yes,friends,Yes,No,No,No,No,No
30.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,Male,18,Student at college / university,UK,38.0,yes,yes,strangers,No,Yes,No,No,No,No
3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Male,23,Student at college / university,Netherlands,7.0,yes,yes,friends,No,Yes,No,No,No,No
20.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Male,21,Student at college / university,Netherlands,6.0,no,no,alone,No,Yes,No,No,No,No
55.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,Male,23,Student at college / university,Italy,20.0,yes,yes,strangers,Yes,No,No,No,No,No
15.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,19,Student at college / university,UK,-1.0,yes,yes,friends,No,Yes,No,No,No,No
35.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,3.0,1.0,3.0,Male,18,Student at school,USA,30.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,Male,18,Student at college / university,USA,43.0,yes,yes,friends,No,Yes,No,No,No,No
20.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,Male,20,Student at college / university,Canada,27.0,yes,yes,friends,No,No,Yes,No,No,No
60.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,Male,18,Student at school,USA,21.0,yes,yes,strangers,No,No,Yes,No,No,No
84.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,Male,19,Student at college / university,Brazil,17.0,yes,yes,strangers,Yes,No,No,No,No,No
24.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,2.0,Female,19,Student at school,USA,28.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
20.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Employed,Germany,10.0,yes,yes,strangers,No,No,Yes,No,No,No
40.0,1.0,2.0,3.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,3.0,0.0,4.0,3.0,4.0,2.0,3.0,Female,18,Student at school,USA,38.0,yes,yes,online acquaintaces,Yes,No,No,No,No,No
50.0,2.0,2.0,3.0,-1.0,0.0,2.0,3.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,Male,18,Unemployed / between jobs,USA,-1.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
40.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Male,21,Student at college / university,Norway,10.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
10.0,2.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,4.0,1.0,0.0,3.0,3.0,3.0,2.0,Male,21,Student at college / university,USA,31.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
25.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,Female,22,Student at college / university,Portugal,16.0,yes,yes,friends,No,No,No,Yes,No,No
25.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,Male,21,Student at college / university,Germany,24.0,yes,yes,strangers,No,No,Yes,No,No,No
5.0,1.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at school,USA,-1.0,yes,yes,strangers,No,No,Yes,No,No,No
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,22,Student at college / university,Germany,2.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
10.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,Male,18,Student at school,USA,20.0,yes,yes,friends,No,Yes,No,No,No,No
12.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,Male,22,Student at college / university,Germany,19.0,no,no,alone,No,Yes,No,No,No,No
40.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,Male,19,Student at college / university,Germany,10.0,yes,yes,friends,No,Yes,No,No,No,No
18.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,Male,19,Student at college / university,Greece,10.0,yes,yes,strangers,No,No,No,Yes,No,No
15.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,Female,26,Employed,USA,49.0,yes,yes,friends,No,Yes,No,No,No,No
6.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,Male,20,Student at college / university,USA,29.0,yes,yes,friends,Yes,No,No,No,No,No
18.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Male,24,Unemployed / between jobs,USA,10.0,yes,yes,strangers,Yes,Yes,No,No,No,No
16.0,3.0,1.0,4.0,3.0,3.0,0.0,0.0,4.0,0.0,2.0,4.0,1.0,0.0,1.0,2.0,0.0,3.0,Male,20,Student at college / university,USA,31.0,yes,yes,friends,No,Yes,No,No,No,No
20.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,4.0,0.0,3.0,Male,19,Student at college / university,Canada,39.0,yes,yes,friends,No,Yes,No,No,No,No
50.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,Male,18,Student at school,Netherlands,22.0,yes,yes,strangers,No,No,Yes,No,No,No
25.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,Male,18,Student at school,USA,25.0,yes,yes,strangers,No,Yes,No,No,No,No
30.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,Female,19,Student at college / university,Brazil,56.0,yes,yes,friends,No,Yes,No,No,No,No
10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,18,Student at school,Germany,14.0,yes,yes,friends,No,No,Yes,No,No,No
15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,24,Student at college / university,USA,3.0,yes,yes,strangers,No,Yes,Yes,No,No,No
30.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,4.0,3.0,4.0,3.0,Male,25,Employed,USA,49.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,Male,20,Student at college / university,USA,13.0,yes,yes,friends,No,Yes,No,No,No,No
30.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,Male,18,Student at school,Canada,21.0,yes,yes,strangers,No,No,Yes,No,No,No
12.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,Male,34,Employed,USA,20.0,yes,yes,strangers,No,No,No,Yes,No,No
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,Germany,0.0,yes,yes,strangers,No,No,Yes,No,No,No
35.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,1.0,Female,18,Student at college / university,USA,32.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
16.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,20,Student at college / university,USA,12.0,yes,yes,friends,No,No,Yes,No,No,No
56.0,0.0,0.0,4.0,4.0,2.0,4.0,0.0,4.0,1.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,Male,20,Student at school,Croatia,36.0,yes,yes,strangers,No,Yes,No,No,No,No
21.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,Male,20,Employed,Mexico,9.0,yes,yes,online acquaintaces,Yes,No,No,No,No,No
10.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Male,22,Student at college / university,UK,12.0,yes,yes,friends,No,No,Yes,No,No,No
30.0,0.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,Male,20,Unemployed / between jobs,France,14.0,no,no,alone,No,Yes,No,No,No,No
30.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,23,Unemployed / between jobs,Sweden,5.0,yes,yes,online acquaintaces,No,No,No,Yes,No,No
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,Male,19,Student at school,Germany,13.0,yes,yes,friends,Yes,No,No,No,No,No
50.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,Male,18,Student at college / university,Brazil,16.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Male,20,Student at college / university,Germany,3.0,yes,yes,friends,No,Yes,No,No,No,No
20.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,20,Unemployed / between jobs,USA,6.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,Male,18,Student at college / university,USA,6.0,no,no,alone,No,No,Yes,No,No,No
30.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,Male,20,Student at college / university,USA,33.0,yes,yes,strangers,No,No,Yes,No,No,No
12.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,23,Employed,USA,5.0,yes,yes,strangers,No,No,Yes,No,No,No
10.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,Male,18,Student at college / university,Netherlands,17.0,yes,yes,friends,No,No,No,Yes,No,No
50.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,Male,19,Student at school,Austria,14.0,yes,yes,friends,Yes,No,No,No,No,No
2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,Male,21,Student at college / university,USA,15.0,yes,yes,friends,No,Yes,No,No,No,No
20.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,Male,22,Unemployed / between jobs,UK,58.0,no,no,alone,No,Yes,No,No,No,No
40.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,Male,28,Employed,USA,29.0,no,no,alone,No,Yes,No,No,No,No
20.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,Male,19,Student at school,Mexico,21.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
12.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,Canada,-1.0,yes,yes,strangers,No,No,Yes,No,No,No
20.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,Male,21,Unemployed / between jobs,USA,40.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
40.0,0.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,Male,23,Student at college / university,Germany,24.0,yes,yes,online acquaintaces,Yes,No,No,No,No,No
40.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Male,24,Unemployed / between jobs,UK,-1.0,yes,yes,strangers,No,No,Yes,No,No,No
16.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,Male,20,Student at college / university,Germany,13.0,yes,yes,friends,No,No,No,No,Yes,No
20.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,Male,18,Student at school,Norway,31.0,yes,yes,friends,No,Yes,No,No,No,No
30.0,1.0,1.0,0.0,-1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,21,Student at college / university,Serbia,-1.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Student at college / university,Brazil,3.0,yes,yes,friends,No,No,Yes,No,No,No
16.0,1.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,0.0,4.0,Male,18,Student at school,Israel,50.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
10.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Male,27,Employed,Canada,14.0,yes,yes,friends,No,Yes,No,No,No,No
20.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Male,18,Student at college / university,USA,16.0,yes,yes,friends,No,No,No,Yes,No,No
25.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,Male,20,Student at college / university,Germany,28.0,yes,yes,online acquaintaces,Yes,No,No,No,No,No
7.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Student at college / university,USA,8.0,yes,yes,friends,No,Yes,No,No,No,No
30.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,19,Student at school,Slovakia,5.0,yes,yes,strangers,No,No,Yes,No,No,No
13.0,1.0,2.0,1.0,1.0,-1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,19,Student at college / university,Switzerland,-1.0,yes,yes,friends,Yes,No,No,No,No,No
120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,18,Unemployed / between jobs,France,2.0,no,no,alone,Yes,No,No,No,No,No
60.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,Male,18,Student at school,USA,22.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
10.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,Female,20,Student at college / university,Switzerland,27.0,yes,yes,friends,No,Yes,No,No,No,No
20.0,0.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,4.0,0.0,3.0,1.0,3.0,0.0,1.0,Male,29,Unemployed / between jobs,Argentina,39.0,yes,yes,friends,No,No,Yes,No,No,No
70.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,24,Employed,UK,5.0,yes,yes,online acquaintaces,No,No,Yes,No,No,No
21.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,-1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,Male,18,Student at college / university,Germany,-1.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
5.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,Male,21,Student at college / university,USA,18.0,no,no,alone,No,No,Yes,No,No,No
10.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,Male,35,Employed,USA,27.0,yes,yes,strangers,Yes,No,No,No,No,No
20.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,Male,18,Student at school,USA,26.0,yes,yes,friends,No,Yes,No,No,No,No
15.0,0.0,4.0,0.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,Male,18,Student at college / university,USA,43.0,yes,yes,friends,No,No,Yes,No,No,No
18.0,0.0,2.0,1.0,2.0,0.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,Male,19,Student at college / university,Poland,20.0,yes,yes,strangers,No,No,Yes,No,No,No
45.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,Male,19,Student at college / university,UK,26.0,yes,yes,strangers,Yes,No,No,No,No,No
