Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,whyplay_winning,whyplay_fun,whyplay_improving,whyplay_relaxing,whyplay_otherpeople,whyplay_habit
10.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at school,UK,9.0,yes,yes,strangers,No,Yes,No,No,No,No
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,27,Employed,USA,1.0,yes,yes,strangers,No,Yes,No,No,No,No
7.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,Male,21,Student at college / university,USA,17.0,yes,yes,friends,No,Yes,No,No,No,No
5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,24,Student at college / university,Canada,3.0,yes,yes,friends,Yes,No,No,No,No,No
-1.0,0.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,1.0,3.0,0.0,4.0,4.0,0.0,4.0,Male,20,Student at college / university,UK,38.0,yes,yes,online acquaintaces,Yes,No,No,No,No,No
4.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,Male,18,Student at school,USA,30.0,no,no,alone,No,No,Yes,No,No,No
20.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,Female,25,Employed,USA,24.0,no,no,alone,No,No,No,Yes,No,No
25.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,18,Student at college / university,USA,17.0,yes,yes,strangers,No,No,Yes,No,No,No
18.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,Male,18,Student at college / university,USA,20.0,no,no,alone,No,Yes,No,No,No,No
15.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,18,Student at college / university,Turkey,12.0,yes,yes,friends,No,No,Yes,No,No,No
10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,28,Unemployed / between jobs,UK,11.0,yes,yes,friends,No,Yes,No,No,No,No
30.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,Female,21,Student at college / university,USA,20.0,no,no,alone,No,Yes,No,No,No,No
11.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,Female,22,Student at college / university,USA,17.0,yes,yes,strangers,No,Yes,No,No,No,No
0.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,Male,19,Student at college / university,USA,44.0,no,no,alone,No,Yes,No,No,No,No
30.0,1.0,0.0,3.0,2.0,3.0,-1.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,Male,18,Student at school,UK,-1.0,yes,yes,friends,No,No,Yes,No,No,No
10.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Male,24,Student at college / university,USA,6.0,yes,no,friends,No,Yes,No,No,No,No
20.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,Male,20,Unemployed / between jobs,Canada,13.0,yes,yes,online acquaintaces,No,Yes,No,No,No,No
0.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,Male,19,Student at college / university,Canada,27.0,no,no,alone,No,Yes,No,No,No,No
40.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,4.0,Male,27,Employed,Sweden,35.0,no,no,alone,No,Yes,No,No,No,No
18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Male,18,Student at college / university,USA,4.0,yes,yes,strangers,No,No,Yes,No,No,No
