Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,SPIN_M,whyplay
10.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,Male,18,Student at college / university,USA,12.0,yes,yes,online acquaintaces,,fun
25.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,Male,20,Unemployed / between jobs,Portugal,18.0,yes,yes,strangers,,fun
15.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,Male,26,Student at college / university,Colombia,13.0,yes,yes,friends,,improving
10.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,Male,19,Student at college / university,USA,20.0,yes,yes,friends,,fun
15.0,1.0,0.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,4.0,0.0,3.0,4.0,0.0,1.0,Male,22,Student at college / university,Canada,36.0,yes,yes,strangers,Moderate,improving
8.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,Female,20,Employed,UK,27.0,yes,yes,online acquaintaces,Mild,fun
24.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Male,23,Employed,Lithuania,-1.0,yes,yes,online acquaintaces,Undefined,relaxing
10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,18,Student at college / university,Germany,5.0,yes,yes,friends,,fun
30.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,Male,23,Employed,France,26.0,yes,yes,friends,Mild,fun
10.0,2.0,1.0,4.0,3.0,3.0,4.0,1.0,3.0,2.0,3.0,4.0,2.0,0.0,4.0,4.0,3.0,1.0,Female,19,Student at college / university,USA,44.0,no,no,alone,Severe,fun
10.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,Male,20,Student at college / university,Canada,15.0,yes,yes,friends,,fun
35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Female,23,Student at college / university,Poland,1.0,yes,yes,friends,,relaxing
30.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0,1.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,Male,23,Student at college / university,France,32.0,yes,yes,friends,Moderate,fun
14.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,Male,22,Employed,UK,20.0,yes,yes,strangers,,fun
40.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Male,22,Student at college / university,Denmark,11.0,yes,yes,strangers,,"winning, fun"
20.0,0.0,1.0,3.0,3.0,2.0,3.0,0.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,Male,20,Unemployed / between jobs,USA,29.0,yes,yes,strangers,Mild,improving
15.0,0.0,2.0,4.0,3.0,1.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,Other,26,Unemployed / between jobs,USA,39.0,yes,yes,online acquaintaces,Moderate,fun
45.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,Male,18,Student at school,USA,15.0,yes,yes,friends,,improving
10.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,Male,23,Student at college / university,USA,23.0,yes,yes,online acquaintaces,Mild,fun
60.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,Male,18,Student at school,Germany,27.0,yes,yes,online acquaintaces,Mild,improving
24.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,4.0,4.0,1.0,4.0,2.0,0.0,3.0,2.0,4.0,0.0,Male,18,Unemployed / between jobs,Kazakhstan,35.0,yes,yes,strangers,Moderate,improving
25.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,0.0,Male,18,Student at school,USA,37.0,yes,yes,strangers,Moderate,improving
4.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,18,Unemployed / between jobs,Croatia,17.0,yes,yes,online acquaintaces,,fun
40.0,2.0,3.0,4.0,3.0,3.0,4.0,0.0,4.0,4.0,2.0,4.0,2.0,0.0,4.0,3.0,1.0,0.0,Male,20,Unemployed / between jobs,Belgium,43.0,yes,yes,strangers,Severe,fun
14.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at school,Iceland,10.0,yes,yes,strangers,,improving
12.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,Male,21,Student at college / university,Austria,27.0,yes,yes,strangers,Mild,fun
12.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,Male,23,Employed,Portugal,11.0,yes,yes,online acquaintaces,,improving
20.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,Male,20,Student at college / university,Germany,30.0,yes,yes,friends,Mild,improving
15.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,19,Student at college / university,Slovakia,16.0,yes,yes,online acquaintaces,,improving
16.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,20,Unemployed / between jobs,Sweden,15.0,no,no,alone,,relaxing
10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,Male,26,Employed,USA,7.0,yes,yes,strangers,,winning
10.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,Male,21,Student at college / university,USA,45.0,yes,yes,friends,Severe,fun
30.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,Male,20,Student at college / university,Netherlands,20.0,no,no,alone,,relaxing
35.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,Female,22,Employed,UK,39.0,yes,yes,friends,Moderate,improving
30.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,Male,20,Unemployed / between jobs,France,18.0,yes,yes,online acquaintaces,,improving
30.0,4.0,2.0,3.0,4.0,-1.0,3.0,4.0,3.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,Male,20,Student at college / university,UK,-1.0,yes,yes,strangers,Undefined,improving
10.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,Female,19,Student at college / university,USA,17.0,yes,yes,strangers,,improving
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at school,USA,1.0,yes,yes,online acquaintaces,,improving
20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Male,20,Student at college / university,Spain,7.0,yes,yes,friends,,"winning, fun, improving, relaxing, habit"
30.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,Male,21,Student at college / university,South Africa,41.0,yes,yes,friends,Severe,improving
18.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,Male,24,Unemployed / between jobs,Netherlands,22.0,yes,yes,strangers,Mild,improving
28.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,Male,19,Student at college / university,Finland,24.0,yes,yes,friends,Mild,improving
25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Employed,USA,1.0,yes,yes,online acquaintaces,,"winning, fun, improving, relaxing, habit"
32.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Male,19,Student at college / university,USA,13.0,yes,yes,friends,,winning
25.0,0.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,1.0,1.0,Male,22,Unemployed / between jobs,Undefined,34.0,yes,yes,strangers,Moderate,fun
14.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Male,25,Student at college / university,Germany,11.0,yes,yes,friends,,fun
8.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,Male,20,Unemployed / between jobs,Spain,35.0,yes,yes,online acquaintaces,Moderate,improving
15.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,Male,22,Student at college / university,Germany,12.0,yes,yes,friends,,fun
17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,19,Employed,Germany,4.0,yes,yes,friends,,fun
7.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Male,20,Student at college / university,Netherlands,19.0,yes,yes,friends,,fun
15.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,Male,23,Employed,USA,17.0,yes,yes,friends,,fun
18.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Male,18,Student at school,Germany,8.0,yes,yes,friends,,"improving, relaxing"
35.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,Male,20,Student at college / university,Bosnia and Herzegovina,24.0,yes,yes,friends,Mild,improving
40.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Male,22,Unemployed / between jobs,Turkey,12.0,yes,yes,online acquaintaces,,winning
35.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,Female,22,Student at college / university,Spain,34.0,yes,yes,online acquaintaces,Moderate,fun
20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,Denmark,1.0,yes,yes,friends,,winning
19.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,Male,20,Student at college / university,Germany,12.0,yes,yes,friends,,improving
60.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,28,Employed,Belgium,9.0,yes,both,various,,fun
15.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Male,26,Employed,UK,6.0,no,no,alone,,relaxing
28.0,3.0,2.0,1.0,2.0,3.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,Male,19,Employed,Germany,-1.0,yes,yes,strangers,Undefined,"winning, fun"
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at school,USA,0.0,yes,yes,friends,,improving
21.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,Male,19,Student at school,Estonia,19.0,yes,yes,friends,,fun
69.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,Male,18,Student at college / university,Canada,23.0,yes,Undefined,strangers,Mild,winning
30.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,Male,19,Student at college / university,Australia,61.0,yes,yes,friends,Very severe,fun
30.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,Male,20,Student at college / university,Sweden,26.0,yes,yes,online acquaintaces,Mild,fun
60.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,Male,20,Student at college / university,UK,53.0,yes,yes,online acquaintaces,Very severe,winning
28.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,Male,20,Student at college / university,UK,18.0,yes,yes,friends,,"winning, fun"
20.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Male,18,Student at school,UK,12.0,yes,yes,online acquaintaces,,relaxing
14.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,Male,19,Student at college / university,USA,23.0,yes,yes,friends,Mild,fun
20.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,Male,23,Student at college / university,Netherlands,14.0,yes,yes,strangers,,fun
20.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,Male,20,Student at college / university,UK,16.0,yes,yes,friends,,fun
50.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,Male,21,Employed,France,19.0,yes,yes,online acquaintaces,,improving
35.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,Male,18,Student at college / university,UK,16.0,yes,yes,strangers,,relaxing
40.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,18,Student at college / university,UK,3.0,yes,yes,strangers,,improving
40.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,2.0,3.0,2.0,Male,18,Student at college / university,Argentina,22.0,yes,yes,friends,Mild,improving
2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,-1.0,1.0,2.0,0.0,2.0,Male,18,Student at school,Lithuania,-1.0,yes,yes,strangers,Undefined,winning
30.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,Male,36,Employed,Portugal,17.0,yes,yes,strangers,,fun
40.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,Male,18,Employed,Norway,28.0,yes,yes,online acquaintaces,Mild,fun
20.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,Male,18,Student at college / university,Australia,17.0,yes,yes,strangers,,fun
20.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,Male,18,Unemployed / between jobs,UK,-1.0,yes,yes,strangers,Undefined,improving
10.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0,Male,21,Employed,Netherlands,45.0,yes,yes,friends,Severe,improving
21.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,Male,18,Student at college / university,USA,16.0,yes,yes,friends,,winning
10.0,2.0,3.0,0.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,Male,18,Student at college / university,Portugal,26.0,yes,yes,strangers,Mild,fun
8.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,2.0,Female,21,Student at college / university,UK,21.0,no,no,alone,Mild,improving
18.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,Male,18,Student at college / university,UK,19.0,yes,yes,strangers,,winning
55.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,Male,19,Employed,UK,22.0,yes,yes,friends,Mild,"winning, improving"
15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,Male,20,Unemployed / between jobs,Australia,10.0,no,no,alone,,improving
21.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Student at college / university,France,6.0,yes,yes,friends,,fun
9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,Male,18,Student at college / university,Sweden,9.0,yes,yes,strangers,,improving
12.0,0.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,Male,24,Employed,Poland,31.0,yes,yes,friends,Moderate,winning
35.0,3.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,Male,18,Student at college / university,Philippines,54.0,no,no,alone,Very severe,fun
35.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,4.0,Male,18,Student at school,Czech Republic,48.0,yes,yes,friends,Severe,winning
20.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,20,Student at college / university,Canada,9.0,yes,yes,strangers,,improving
18.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,18,Student at school,Canada,12.0,yes,yes,friends,,fun
10.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,25,Student at college / university,Denmark,11.0,yes,yes,strangers,,fun
35.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Female,19,Employed,USA,6.0,no,no,alone,,improving
20.0,3.0,3.0,-1.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,Male,18,Student at college / university,Canada,-1.0,yes,yes,strangers,Undefined,improving
10.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,1.0,Male,19,Student at college / university,Albania,23.0,yes,yes,strangers,Mild,improving
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Employed,USA,1.0,yes,yes,friends,,improving
20.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,Male,22,Student at college / university,Croatia,10.0,yes,yes,strangers,,winning
20.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,Male,19,Employed,Germany,23.0,yes,yes,online acquaintaces,Mild,improving
20.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,Male,26,Employed,Argentina,22.0,yes,yes,friends,Mild,fun
35.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,1.0,Male,18,Student at school,Bulgaria,22.0,yes,yes,online acquaintaces,Mild,fun
6.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,Male,18,Employed,Germany,17.0,yes,yes,online acquaintaces,,relaxing
30.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,25,Student at college / university,USA,7.0,no,no,alone,,fun
15.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,Male,21,Student at college / university,USA,64.0,yes,yes,online acquaintaces,Very severe,fun
21.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Male,22,Student at college / university,Brazil,7.0,yes,yes,friends,,winning
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,23,Student at college / university,Poland,0.0,yes,yes,online acquaintaces,,fun
8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,Male,19,Student at college / university,France,21.0,yes,yes,friends,Mild,fun
2.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Male,21,Student at college / university,USA,14.0,yes,yes,strangers,,relaxing
15.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,31,Employed,Canada,8.0,yes,yes,strangers,,fun
20.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,Male,19,Student at college / university,Netherlands,10.0,yes,yes,online acquaintaces,,fun
8.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,Male,26,Employed,Spain,32.0,yes,yes,friends,Moderate,relaxing
10.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,Male,20,Student at college / university,Singapore,35.0,yes,yes,strangers,Moderate,winning
10.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,Male,19,Student at college / university,Germany,30.0,yes,yes,online acquaintaces,Mild,fun
10.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,22,Student at college / university,Canada,6.0,yes,yes,online acquaintaces,,improving
3.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,Male,20,Employed,Ireland,21.0,yes,yes,online acquaintaces,Mild,improving
12.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,Male,22,Student at college / university,USA,22.0,yes,yes,strangers,Mild,improving
10.0,4.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,3.0,4.0,0.0,Male,20,Student at college / university,Canada,36.0,yes,yes,strangers,Moderate,fun
20.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,Male,21,Student at college / university,UK,11.0,yes,yes,friends,,fun
10.0,2.0,0.0,3.0,4.0,2.0,4.0,0.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,Male,20,Employed,Sweden,42.0,no,no,alone,Severe,fun
21.0,0.0,1.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,0.0,2.0,1.0,4.0,0.0,4.0,Male,20,Employed,USA,41.0,yes,yes,strangers,Severe,improving
10.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Male,19,Student at college / university,Germany,5.0,yes,yes,online acquaintaces,,improving
28.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,3.0,4.0,2.0,-1.0,Male,19,Student at school,Poland,-1.0,yes,yes,online acquaintaces,Undefined,fun
14.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,Male,18,Student at college / university,Dominican Republic,13.0,yes,yes,friends,,improving
15.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,Male,19,Student at college / university,UK,23.0,yes,yes,friends,Mild,fun
50.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,Male,23,Student at college / university,South Korea,17.0,yes,yes,online acquaintaces,,winning
