Unnamed: 0,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,Hours,whyplay,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,Playstyle,GAD_T,SPIN_T,Residence_ISO3,Birthplace_ISO3
23,0,0,0,1,1,1,0,10.0,having fun,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Male,33,Employed,Canada,Singleplayer,3,5.0,CAN,CAN
24,0,0,0,0,0,0,0,21.0,having fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,41,Employed,UK,Multiplayer - online - with real life friends,0,0.0,GBR,GBR
25,1,1,1,2,1,2,2,20.0,having fun,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,25,Unemployed / between jobs,UK,Multiplayer - online - with real life friends,10,47.0,GBR,GBR
26,1,0,0,1,0,1,1,21.0,having fun,0.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,Male,26,Unemployed / between jobs,Malaysia,Singleplayer,4,20.0,MYS,KOR
27,0,0,0,0,0,0,0,20.0,having fun,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,Female,20,Student at college / university,UK,Singleplayer,0,39.0,GBR,GBR
28,1,0,1,1,0,1,1,5.0,having fun,2.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,Male,36,Employed,Romania,Multiplayer - online - with strangers,5,31.0,ROU,ROU
29,1,0,2,1,0,0,0,40.0,having fun,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,Male,19,Student at college / university,USA,Multiplayer - online - with real life friends,4,15.0,USA,USA
30,0,0,0,0,0,1,0,6.0,having fun,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Male,18,Student at school,USA,Multiplayer - offline (people in the same room),1,12.0,USA,USA
31,1,0,1,1,1,2,0,9.0,having fun,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,Male,18,Student at school,USA,Multiplayer - online - with online acquaintances or teammates,6,14.0,USA,USA
32,3,3,3,3,2,0,1,18.0,having fun,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,Male,20,Student at college / university,Sweden,Singleplayer,15,46.0,SWE,SWE
33,1,0,1,0,0,0,0,8.0,having fun,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,Male,26,Employed,Canada,Multiplayer - online - with strangers,2,11.0,CAN,CAN
34,0,0,0,0,0,0,0,9.0,improving,2.0,2.0,2.0,3.0,4.0,3.0,4.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,3.0,Female,23,Employed,UK,Multiplayer - online - with real life friends,0,39.0,GBR,GBR
35,0,0,0,0,0,2,0,6.0,winning,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,Female,22,Unemployed / between jobs,UK,Multiplayer - online - with strangers,2,60.0,GBR,GBR
36,0,0,0,0,0,1,0,7.0,having fun,0.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,Male,25,Student at college / university,USA,Multiplayer - online - with strangers,1,29.0,USA,USA
37,1,1,0,0,0,1,1,18.0,having fun,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,,2.0,1.0,1.0,0.0,1.0,Female,22,Student at college / university,Greece,Multiplayer - online - with real life friends,4,,GRC,GRC
38,2,2,2,2,2,2,2,18.0,improving,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,Male,24,Student at college / university,USA,Singleplayer,14,13.0,USA,USA
39,2,1,1,2,0,0,1,10.0,having fun,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,Female,24,Student at college / university,Canada,Singleplayer,7,41.0,CAN,CAN
40,0,0,1,2,1,1,0,20.0,having fun,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,21,Student at college / university,Ireland,Singleplayer,5,8.0,IRL,IRL
41,2,2,2,2,2,2,2,10.0,having fun,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,Female,18,Student at college / university,USA,Singleplayer,14,24.0,USA,CHE
42,1,1,1,0,0,1,0,10.0,having fun,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at school,UK,Multiplayer - online - with strangers,4,9.0,GBR,GBR
43,0,0,0,0,0,0,0,12.0,having fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,27,Employed,USA,Multiplayer - online - with strangers,0,1.0,USA,USA
44,1,1,1,1,0,2,1,7.0,having fun,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,Male,21,Student at college / university,USA,Multiplayer - online - with real life friends,7,17.0,USA,USA
45,2,1,2,2,2,2,2,5.0,winning,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,24,Student at college / university,Canada,Multiplayer - online - with real life friends,13,3.0,CAN,CAN
46,2,1,3,1,0,1,0,,winning,0.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,1.0,3.0,0.0,4.0,4.0,0.0,4.0,Male,20,Student at college / university,UK,Multiplayer - online - with online acquaintances or teammates,8,38.0,GBR,GBR
47,1,1,0,0,1,2,0,4.0,improving,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,Male,18,Student at school,USA,Singleplayer,5,30.0,USA,USA
48,2,2,2,1,0,0,0,20.0,relaxing,3.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,Female,25,Employed,USA,Singleplayer,7,24.0,USA,USA
50,2,2,2,2,1,0,2,25.0,improving,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,18,Student at college / university,USA,Multiplayer - online - with strangers,11,17.0,USA,USA
