Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,SPIN_M,whyplay,ResidenceName
5.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,Male,36,Employed,ROU,31.0,yes,yes,strangers,Moderate,fun,Romania
40.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,Male,19,Student at college / university,USA,15.0,yes,yes,friends,_None,fun,USA
6.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Male,18,Student at school,USA,12.0,yes,no,friends,_None,fun,USA
9.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,Male,18,Student at school,USA,14.0,yes,yes,online acquaintaces,_None,fun,USA
18.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,Male,20,Student at college / university,SWE,46.0,no,no,alone,Severe,fun,Sweden
8.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,Male,26,Employed,CAN,11.0,yes,yes,strangers,_None,fun,Canada
9.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,3.0,Female,23,Employed,GBR,39.0,yes,yes,friends,Moderate,improving,UK
6.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,Female,22,Unemployed / between jobs,GBR,60.0,yes,yes,strangers,Very severe,winning,UK
7.0,0.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,Male,25,Student at college / university,USA,29.0,yes,yes,strangers,Mild,fun,USA
18.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,-1.0,2.0,1.0,1.0,0.0,1.0,Female,22,Student at college / university,GRC,-1.0,yes,yes,friends,Undefined,fun,Greece
18.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,Male,24,Student at college / university,USA,13.0,no,no,alone,_None,improving,USA
10.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,3.0,Female,24,Student at college / university,CAN,41.0,no,no,alone,Severe,fun,Canada
20.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,21,Student at college / university,IRL,8.0,no,no,alone,_None,fun,Ireland
10.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,2.0,Female,18,Student at college / university,USA,24.0,no,no,alone,Mild,fun,USA
10.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at school,GBR,9.0,yes,yes,strangers,_None,fun,UK
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,27,Employed,USA,1.0,yes,yes,strangers,_None,fun,USA
7.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,Male,21,Student at college / university,USA,17.0,yes,yes,friends,_None,fun,USA
5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,24,Student at college / university,CAN,3.0,yes,yes,friends,_None,winning,Canada
-1.0,0.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,1.0,3.0,0.0,4.0,4.0,0.0,4.0,Male,20,Student at college / university,GBR,38.0,yes,yes,online acquaintaces,Moderate,winning,UK
4.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,Male,18,Student at school,USA,30.0,no,no,alone,Mild,improving,USA
20.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,Female,25,Employed,USA,24.0,no,no,alone,Mild,relaxing,USA
25.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,18,Student at college / university,USA,17.0,yes,yes,strangers,_None,improving,USA
18.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,Male,18,Student at college / university,USA,20.0,no,no,alone,_None,fun,USA
15.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,18,Student at college / university,TUR,12.0,yes,yes,friends,_None,improving,Turkey
10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,28,Unemployed / between jobs,GBR,11.0,yes,yes,friends,_None,fun,UK
30.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,Female,21,Student at college / university,USA,20.0,no,no,alone,_None,fun,USA
11.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,Female,22,Student at college / university,USA,17.0,yes,yes,strangers,_None,fun,USA
0.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,Male,19,Student at college / university,USA,44.0,no,no,alone,Severe,fun,USA
30.0,1.0,0.0,3.0,2.0,3.0,-1.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,Male,18,Student at school,GBR,-1.0,yes,yes,friends,Undefined,improving,UK
10.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Male,24,Student at college / university,USA,6.0,yes,no,friends,_None,fun,USA
20.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,Male,20,Unemployed / between jobs,CAN,13.0,yes,yes,online acquaintaces,_None,fun,Canada
0.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,Male,19,Student at college / university,CAN,27.0,no,no,alone,Mild,fun,Canada
40.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,4.0,Male,27,Employed,SWE,35.0,no,no,alone,Moderate,fun,Sweden
18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Male,18,Student at college / university,USA,4.0,yes,yes,strangers,_None,improving,USA
5.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,Female,30,Employed,DEU,38.0,yes,yes,strangers,Moderate,fun,Germany
25.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,Female,18,Student at school,GBR,32.0,yes,yes,strangers,Moderate,fun,UK
1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,Female,18,Student at college / university,USA,64.0,no,no,alone,Very severe,relaxing,USA
14.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,Male,22,Student at college / university,USA,64.0,no,no,alone,Very severe,relaxing,USA
2.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,1.0,Female,24,Student at college / university,BEL,25.0,no,no,alone,Mild,relaxing,Belgium
12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,Male,18,Student at college / university,USA,11.0,yes,yes,online acquaintaces,_None,winning,USA
40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Male,19,Student at school,USA,-1.0,yes,yes,friends,Undefined,fun,USA
10.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,Male,40,Employed,CAN,54.0,no,no,alone,Very severe,improving,Canada
10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,18,Student at college / university,USA,68.0,yes,yes,strangers,Very severe,fun,USA
7.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,Male,19,Student at college / university,USA,21.0,no,no,alone,Mild,fun,USA
25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,23,Employed,USA,3.0,no,no,alone,_None,various,USA
10.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,24,Student at college / university,CAN,61.0,yes,yes,strangers,Very severe,winning,Canada
25.0,1.0,2.0,1.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Male,18,Student at school,LVA,47.0,yes,yes,friends,Severe,improving,Latvia
25.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Student at college / university,USA,15.0,no,no,alone,_None,fun,USA
10.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,Male,23,Student at college / university,AUT,36.0,yes,yes,friends,Moderate,improving,Austria
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,GBR,0.0,yes,yes,online acquaintaces,_None,fun,UK
20.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,Male,19,Student at college / university,AUS,25.0,yes,yes,friends,Mild,improving,Australia
