Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,SPIN_M,whyplay,ResidenceISO
10.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,18,Student at school,UK,9.0,yes,yes,strangers,_None,fun,GBR
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,27,Employed,USA,1.0,yes,yes,strangers,_None,fun,USA
7.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,Male,21,Student at college / university,USA,17.0,yes,yes,friends,_None,fun,USA
5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,24,Student at college / university,Canada,3.0,yes,yes,friends,_None,winning,CAN
-1.0,0.0,3.0,2.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,1.0,3.0,0.0,4.0,4.0,0.0,4.0,Male,20,Student at college / university,UK,38.0,yes,yes,online acquaintaces,Moderate,winning,GBR
4.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,Male,18,Student at school,USA,30.0,no,no,alone,Mild,improving,USA
20.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,Female,25,Employed,USA,24.0,no,no,alone,Mild,relaxing,USA
25.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,Male,18,Student at college / university,USA,17.0,yes,yes,strangers,_None,improving,USA
18.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,Male,18,Student at college / university,USA,20.0,no,no,alone,_None,fun,USA
15.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Male,18,Student at college / university,Turkey,12.0,yes,yes,friends,_None,improving,TUR
10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,28,Unemployed / between jobs,UK,11.0,yes,yes,friends,_None,fun,GBR
30.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,Female,21,Student at college / university,USA,20.0,no,no,alone,_None,fun,USA
11.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,Female,22,Student at college / university,USA,17.0,yes,yes,strangers,_None,fun,USA
0.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,Male,19,Student at college / university,USA,44.0,no,no,alone,Severe,fun,USA
30.0,1.0,0.0,3.0,2.0,3.0,-1.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,Male,18,Student at school,UK,-1.0,yes,yes,friends,Undefined,improving,GBR
10.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Male,24,Student at college / university,USA,6.0,yes,no,friends,_None,fun,USA
20.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,Male,20,Unemployed / between jobs,Canada,13.0,yes,yes,online acquaintaces,_None,fun,CAN
0.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,Male,19,Student at college / university,Canada,27.0,no,no,alone,Mild,fun,CAN
40.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,4.0,Male,27,Employed,Sweden,35.0,no,no,alone,Moderate,fun,SWE
18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Male,18,Student at college / university,USA,4.0,yes,yes,strangers,_None,improving,USA
5.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,Female,30,Employed,Germany,38.0,yes,yes,strangers,Moderate,fun,DEU
25.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,Female,18,Student at school,UK,32.0,yes,yes,strangers,Moderate,fun,GBR
1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,Female,18,Student at college / university,USA,64.0,no,no,alone,VerySevere,relaxing,USA
14.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,Male,22,Student at college / university,USA,64.0,no,no,alone,VerySevere,relaxing,USA
2.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,1.0,Female,24,Student at college / university,Belgium,25.0,no,no,alone,Mild,relaxing,BEL
12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,Male,18,Student at college / university,USA,11.0,yes,yes,online acquaintaces,_None,winning,USA
40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Male,19,Student at school,USA,-1.0,yes,yes,friends,Undefined,fun,USA
10.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,Male,40,Employed,Canada,54.0,no,no,alone,VerySevere,improving,CAN
10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,18,Student at college / university,USA,68.0,yes,yes,strangers,VerySevere,fun,USA
7.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,Male,19,Student at college / university,USA,21.0,no,no,alone,Mild,fun,USA
25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,23,Employed,USA,3.0,no,no,alone,_None,various,USA
10.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Male,24,Student at college / university,Canada,61.0,yes,yes,strangers,VerySevere,winning,CAN
25.0,1.0,2.0,1.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,Male,18,Student at school,Latvia,47.0,yes,yes,friends,Severe,improving,LVA
25.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,20,Student at college / university,USA,15.0,no,no,alone,_None,fun,USA
10.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,Male,23,Student at college / university,Austria,36.0,yes,yes,friends,Moderate,improving,AUT
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,21,Student at college / university,UK,0.0,yes,yes,online acquaintaces,_None,fun,GBR
20.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,Male,19,Student at college / university,Australia,25.0,yes,yes,friends,Mild,improving,AUS
40.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,Male,21,Student at school,USA,45.0,yes,yes,online acquaintaces,Severe,winning,USA
5.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,19,Student at college / university,UK,13.0,yes,yes,strangers,_None,fun,GBR
25.0,1.0,0.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,Female,34,Unemployed / between jobs,USA,38.0,no,no,alone,Moderate,fun,USA
10.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Male,19,Student at college / university,USA,5.0,no,no,alone,_None,fun,USA
5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,50,Employed,Japan,7.0,no,no,alone,_None,fun,JPN
10.0,1.0,4.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,Female,20,Employed,USA,30.0,yes,yes,strangers,Mild,improving,USA
20.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,Female,21,Student at college / university,Canada,30.0,yes,yes,friends,Mild,fun,CAN
45.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,Male,19,Student at college / university,USA,30.0,yes,yes,friends,Mild,fun,USA
11.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,3.0,Male,28,Employed,Canada,30.0,no,no,alone,Mild,fun,CAN
12.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,Male,18,Student at college / university,UK,11.0,yes,yes,friends,_None,fun,GBR
25.0,1.0,3.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,4.0,2.0,2.0,Male,24,Student at college / university,Canada,34.0,yes,yes,strangers,Moderate,improving,CAN
9.0,2.0,4.0,1.0,2.0,-1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Male,19,Student at college / university,USA,-1.0,yes,yes,strangers,Undefined,fun,USA
